Brand,OpAreaLvl3,StayDate,BkChannel,2020_Comp,RmNts
Waldorf Astoria Hotels & Resorts,Middle East & Africa,1/10/2020,HRCC,1,16
Tapestry Collection by Hilton,Americas,1/4/2020,Digital,0,302
Hilton,Middle East & Africa,1/29/2020,HRCC,0,32
Independent,Americas,1/21/2020,GDS,0,117
Waldorf Astoria Hotels & Resorts,Middle East & Africa,1/7/2020,Digital,0,34
Curio Collection by Hilton,Americas,1/3/2020,HRCC,1,388
Hilton,Asia Pacific,1/13/2020,Other,1,915
Hilton,Asia Pacific,1/2/2020,GDS,1,250
DoubleTree by Hilton,Americas,1/1/2020,Prop,1,8718
Curio Collection by Hilton,Middle East & Africa,1/27/2020,Other,0,7
Hilton Grand Vacations,Americas,1/27/2020,Digital,1,1154
Curio Collection by Hilton,Cont. Europe,1/20/2020,Prop,0,29
Hilton Garden Inn,Asia Pacific,1/11/2020,GDS,1,98
Hilton,Asia Pacific,1/11/2020,Other,0,311
Conrad,Cont. Europe,1/26/2020,Prop,1,14
Curio Collection by Hilton,Middle East & Africa,1/16/2020,OTA,1,59
Curio Collection by Hilton,UK & Ireland,1/1/2020,Digital,0,42
Waldorf Astoria Hotels & Resorts,Asia Pacific,1/5/2020,Prop,0,90
Hilton,Asia Pacific,1/4/2020,Digital,1,3829
DoubleTree by Hilton,Asia Pacific,1/13/2020,OTA,1,1835
Curio Collection by Hilton,Asia Pacific,1/19/2020,GDS,1,35
Independent,Americas,1/27/2020,OTA,0,73
Conrad,Middle East & Africa,1/4/2020,Other,0,14
Hampton,Americas,1/15/2020,OTA,0,1412
Conrad,Americas,1/10/2020,OTA,1,233
Curio Collection by Hilton,Americas,1/1/2020,HRCC,0,216
Hilton Garden Inn,UK & Ireland,1/21/2020,Digital,1,354
Embassy,Americas,1/24/2020,Prop,0,1041
Canopy,Americas,1/18/2020,GDS,1,16
Hilton,UK & Ireland,1/19/2020,GDS,1,851
Hilton Garden Inn,Americas,1/11/2020,GDS,1,3979
Curio Collection by Hilton,Americas,1/4/2020,OTA,0,289
DoubleTree by Hilton,Asia Pacific,1/27/2020,Other,0,32
Waldorf Astoria Hotels & Resorts,Americas,1/12/2020,GDS,0,65
Hilton,Americas,1/4/2020,Digital,1,18302
Conrad,Cont. Europe,1/15/2020,OTA,1,6
Hampton,Middle East & Africa,1/15/2020,Prop,1,306
Hilton Garden Inn,Cont. Europe,1/20/2020,OTA,1,978
Homewood by Hilton,Americas,1/21/2020,HRCC,1,2174
DoubleTree by Hilton,UK & Ireland,1/9/2020,Other,0,4
LXR Hotels and Resorts,UK & Ireland,1/4/2020,OTA,0,46
Curio Collection by Hilton,Americas,1/15/2020,Prop,0,1606
Hilton,Middle East & Africa,1/3/2020,Other,1,140
DoubleTree by Hilton,Cont. Europe,1/15/2020,GDS,0,125
Hilton Garden Inn,Asia Pacific,1/17/2020,Other,0,2
Curio Collection by Hilton,UK & Ireland,1/18/2020,Other,1,3
Conrad,Asia Pacific,1/29/2020,HRCC,1,27
Waldorf Astoria Hotels & Resorts,Middle East & Africa,1/22/2020,Prop,1,379
Hilton Garden Inn,Asia Pacific,1/10/2020,OTA,0,37
Conrad,Asia Pacific,1/18/2020,Digital,1,483
Conrad,Asia Pacific,1/21/2020,Digital,1,489
Waldorf Astoria Hotels & Resorts,UK & Ireland,1/25/2020,GDS,1,4
Conrad,Middle East & Africa,1/6/2020,Other,1,15
Waldorf Astoria Hotels & Resorts,Americas,1/28/2020,Other,1,62
Hilton,Americas,1/14/2020,Other,0,88
Hampton,UK & Ireland,1/13/2020,Digital,1,678
Waldorf Astoria Hotels & Resorts,UK & Ireland,1/6/2020,OTA,1,14
Tru by Hilton,Americas,1/17/2020,GDS,0,135
DoubleTree by Hilton,Americas,1/30/2020,Prop,1,15676
Hilton Garden Inn,Cont. Europe,1/11/2020,Prop,1,2273
Hilton Garden Inn,UK & Ireland,1/3/2020,OTA,1,287
Hilton Garden Inn,Middle East & Africa,1/19/2020,Prop,1,1011
Embassy,Americas,1/7/2020,Digital,1,12367
DoubleTree by Hilton,Middle East & Africa,1/16/2020,Other,0,1
Hilton Grand Vacations,Americas,1/18/2020,Other,0,1
Curio Collection by Hilton,UK & Ireland,1/15/2020,OTA,0,44
Hampton,Cont. Europe,1/3/2020,GDS,1,20
DoubleTree by Hilton,Middle East & Africa,1/9/2020,OTA,0,246
Hampton,Middle East & Africa,1/21/2020,GDS,0,7
Canopy,Middle East & Africa,1/16/2020,Digital,0,13
Waldorf Astoria Hotels & Resorts,Middle East & Africa,1/21/2020,OTA,0,21
Homewood by Hilton,Americas,1/25/2020,Other,1,253
DoubleTree by Hilton,Cont. Europe,1/27/2020,OTA,1,546
Hampton,Americas,1/18/2020,Other,1,1372
Tapestry Collection by Hilton,Americas,1/27/2020,Prop,0,399
Hilton,UK & Ireland,1/13/2020,Prop,0,714
Tru by Hilton,Americas,1/9/2020,Prop,0,452
Hilton Grand Vacations,Americas,1/11/2020,OTA,0,3
Hilton Garden Inn,Cont. Europe,1/2/2020,Prop,1,1986
Condo,Americas,1/20/2020,HRCC,0,9
Curio Collection by Hilton,Cont. Europe,1/25/2020,GDS,0,1
Hilton,Cont. Europe,1/12/2020,HRCC,0,39
DoubleTree by Hilton,Middle East & Africa,1/8/2020,HRCC,1,59
Hampton,Cont. Europe,1/9/2020,HRCC,1,69
Curio Collection by Hilton,Americas,1/19/2020,Digital,0,743
Hilton Garden Inn,Americas,1/21/2020,OTA,1,5148
Hilton Garden Inn,Americas,1/29/2020,Prop,1,15581
DoubleTree by Hilton,UK & Ireland,1/7/2020,OTA,1,1402
Condo,Americas,1/18/2020,Digital,0,96
Embassy,Americas,1/8/2020,GDS,1,10245
DoubleTree by Hilton,Middle East & Africa,1/29/2020,Digital,1,331
Homewood by Hilton,Americas,1/11/2020,Digital,0,1208
DoubleTree by Hilton,Americas,1/15/2020,GDS,1,16753
Hampton,Cont. Europe,1/6/2020,Digital,0,90
Hampton,UK & Ireland,1/16/2020,GDS,0,81
Hilton Garden Inn,Asia Pacific,1/27/2020,Prop,0,5
Hilton,Americas,1/8/2020,GDS,1,14243
Tru by Hilton,Americas,1/21/2020,Other,1,14
Curio Collection by Hilton,UK & Ireland,1/12/2020,OTA,0,19
Conrad,Americas,1/10/2020,HRCC,0,43
Independent,Americas,1/6/2020,Other,0,6
Hilton Garden Inn,Asia Pacific,1/18/2020,OTA,1,913
Waldorf Astoria Hotels & Resorts,Middle East & Africa,1/3/2020,Prop,0,119
Conrad,Asia Pacific,1/1/2020,HRCC,0,69
Hilton Garden Inn,UK & Ireland,1/4/2020,Other,1,6
Hampton,Asia Pacific,1/3/2020,HRCC,0,20
Hilton,Americas,1/6/2020,HRCC,1,2934
DoubleTree by Hilton,UK & Ireland,1/4/2020,OTA,1,2362
Conrad,UK & Ireland,1/14/2020,GDS,1,112
Waldorf Astoria Hotels & Resorts,Americas,1/16/2020,Digital,1,336
DoubleTree by Hilton,Americas,1/17/2020,Digital,0,2207
Embassy,Americas,1/1/2020,Prop,0,478
Tapestry Collection by Hilton,Americas,1/18/2020,Other,1,12
Tapestry Collection by Hilton,Americas,1/12/2020,Other,1,10
DoubleTree by Hilton,UK & Ireland,1/11/2020,Other,1,53
Curio Collection by Hilton,UK & Ireland,1/25/2020,Prop,1,38
Tapestry Collection by Hilton,Americas,1/5/2020,OTA,1,147
Conrad,UK & Ireland,1/17/2020,OTA,1,42
Hilton Garden Inn,Asia Pacific,1/4/2020,Digital,1,572
Hilton Garden Inn,UK & Ireland,1/29/2020,GDS,0,249
DoubleTree by Hilton,Cont. Europe,1/16/2020,Digital,0,70
Conrad,Americas,1/12/2020,Other,0,16
Conrad,Americas,1/15/2020,Other,0,24
Conrad,Americas,1/8/2020,OTA,0,51
Waldorf Astoria Hotels & Resorts,Middle East & Africa,1/12/2020,OTA,0,27
Hilton Garden Inn,Americas,1/18/2020,OTA,1,10672
Home2 Suites by Hilton,Americas,1/30/2020,Other,1,82
DoubleTree by Hilton,UK & Ireland,1/18/2020,Prop,1,1764
DoubleTree by Hilton,Cont. Europe,1/24/2020,HRCC,0,5
Hilton,UK & Ireland,1/24/2020,HRCC,0,125
Embassy,Americas,1/30/2020,Prop,0,967
Homewood by Hilton,Americas,1/13/2020,HRCC,0,237
Conrad,UK & Ireland,1/11/2020,GDS,1,9
Hilton Garden Inn,Cont. Europe,1/31/2020,Prop,1,2535
DoubleTree by Hilton,Middle East & Africa,1/6/2020,Digital,1,376
Curio Collection by Hilton,Asia Pacific,1/21/2020,Digital,1,105
Hilton,Middle East & Africa,1/23/2020,Digital,1,1064
Condo,Americas,1/17/2020,HRCC,0,24
Hampton,Middle East & Africa,1/6/2020,Other,0,54
Hilton,Middle East & Africa,1/10/2020,Other,0,21
Waldorf Astoria Hotels & Resorts,Cont. Europe,1/5/2020,Prop,1,226
Hilton,Asia Pacific,1/25/2020,Digital,0,935
Hilton Garden Inn,Middle East & Africa,1/12/2020,Other,1,27
