fcst_Week Num,fc_year,Week Start Date
52,2014,12/28/2014
1,2015,1/4/2015
2,2015,1/11/2015
3,2015,1/18/2015
4,2015,1/25/2015
5,2015,2/1/2015
6,2015,2/8/2015
7,2015,2/15/2015
8,2015,2/22/2015
9,2015,3/1/2015
10,2015,3/8/2015
11,2015,3/15/2015
12,2015,3/22/2015
13,2015,3/29/2015
14,2015,4/5/2015
15,2015,4/12/2015
16,2015,4/19/2015
17,2015,4/26/2015
18,2015,5/3/2015
19,2015,5/10/2015
20,2015,5/17/2015
21,2015,5/24/2015
22,2015,5/31/2015
23,2015,6/7/2015
24,2015,6/14/2015
25,2015,6/21/2015
26,2015,6/28/2015
27,2015,7/5/2015
28,2015,7/12/2015
29,2015,7/19/2015
30,2015,7/26/2015
31,2015,8/2/2015
32,2015,8/9/2015
33,2015,8/16/2015
34,2015,8/23/2015
35,2015,8/30/2015
36,2015,9/6/2015
37,2015,9/13/2015
38,2015,9/20/2015
39,2015,9/27/2015
40,2015,10/4/2015
41,2015,10/11/2015
42,2015,10/18/2015
43,2015,10/25/2015
44,2015,11/1/2015
45,2015,11/8/2015
46,2015,11/15/2015
47,2015,11/22/2015
48,2015,11/29/2015
49,2015,12/6/2015
50,2015,12/13/2015
51,2015,12/20/2015
52,2015,12/27/2015
1,2016,1/3/2016
2,2016,1/10/2016
3,2016,1/17/2016
4,2016,1/24/2016
5,2016,1/31/2016
6,2016,2/7/2016
7,2016,2/14/2016
8,2016,2/21/2016
9,2016,2/28/2016
10,2016,3/6/2016
11,2016,3/13/2016
12,2016,3/20/2016
13,2016,3/27/2016
14,2016,4/3/2016
15,2016,4/10/2016
16,2016,4/17/2016
17,2016,4/24/2016
18,2016,5/1/2016
19,2016,5/8/2016
20,2016,5/15/2016
21,2016,5/22/2016
22,2016,5/29/2016
23,2016,6/5/2016
24,2016,6/12/2016
25,2016,6/19/2016
26,2016,6/26/2016
27,2016,7/3/2016
28,2016,7/10/2016
29,2016,7/17/2016
30,2016,7/24/2016
31,2016,7/31/2016
32,2016,8/7/2016
33,2016,8/14/2016
34,2016,8/21/2016
