Brand_Cat,OpAreaLvl3,ts_group,OTA_yhat,OTA_RmNts,Non_OTA_yhat,Non_OTA_RmNts
All Suites,Americas,2017-01-01,12284.7457656325,8934,40367.1988789307,38661
All Suites,Americas,2017-01-02,6305.40702832054,5460,36666.1013876051,34856
All Suites,Americas,2017-01-03,5778.10117319482,5225,47051.2672283269,49177
All Suites,Americas,2017-01-04,5838.2106974703,5223,53230.0239291357,55505
All Suites,Americas,2017-01-05,6585.81638734829,5551,53450.4711362671,52396
All Suites,Americas,2017-01-06,6974.09410778003,7012,54925.0939665788,51645
All Suites,Americas,2017-01-07,9502.67138452434,7811,55851.4459370808,55127
All Suites,Americas,2017-01-08,5574.87800392094,4113,44040.8591610463,47896
All Suites,Americas,2017-01-09,5587.84188247559,4049,68609.666394442,75202
All Suites,Americas,2017-01-10,5412.48795751928,3955,69778.753943325,85187
All Suites,Americas,2017-01-11,5242.898886292,4056,70887.9786745117,84571
All Suites,Americas,2017-01-12,5081.88667262221,4553,71922.1840827934,69465
All Suites,Americas,2017-01-13,4932.0320765436,7032,72868.4007610484,63334
All Suites,Americas,2017-01-14,9972.94060308377,8686,67572.0827162767,69237
All Suites,Americas,2017-01-15,6043.43654987494,5417,54068.5686935493,54346
All Suites,Americas,2017-01-16,4282.29045718707,3897,66021.0500025134,66469
All Suites,Americas,2017-01-17,4257.77864190191,3914,80562.6089126927,84181
All Suites,Americas,2017-01-18,4418.4196497644,4295,76004.2607281411,85046
All Suites,Americas,2017-01-19,4371.26803573519,5018,76295.3630157498,72270
All Suites,Americas,2017-01-20,4343.57332734794,7777,76481.2940145212,61041
All Suites,Americas,2017-01-21,9541.88951823095,9417,70402.7788167974,61425
All Suites,Americas,2017-01-22,4151.25773507535,4219,53083.1899916544,50613
All Suites,Americas,2017-01-23,4371.3254104905,4083,76496.4955323848,80600
All Suites,Americas,2017-01-24,4413.81065928263,3976,76359.1725980071,90093
All Suites,Americas,2017-01-25,4470.31936538975,4037,76173.1980150047,88836
All Suites,Americas,2017-01-26,4538.94939092797,4720,75953.295799622,73953
All Suites,Americas,2017-01-27,4617.6413948148,7644,75714.4411029149,62525
All Suites,Americas,2017-01-28,9940.84793881584,9526,69281.2309832131,64267
All Suites,Americas,2017-01-29,4602.12837556718,4193,51685.3056009967,48526
All Suites,Americas,2017-01-30,4892.32022452377,3900,75029.5896407034,74356
All Suites,Americas,2017-01-31,4989.49345724541,3862,74856.3913322841,83586
All Suites,Americas,2017-02-01,5086.03617259712,3917,74729.8946818477,83447
All Suites,Americas,2017-02-02,5180.10280074689,4435,74659.1783565187,69815
All Suites,Americas,2017-02-03,5270.05141992549,7113,74651.4284548967,62162
All Suites,Americas,2017-02-04,10620.7431215893,8622,68498.4551867701,64025
All Suites,Americas,2017-02-05,5236.74273323165,4033,51224.4977491937,48478
All Suites,Americas,2017-02-06,5502.47875702129,3838,75047.1463921819,78963
All Suites,Americas,2017-02-07,5564.62745727663,3883,75321.9706496007,90527
All Suites,Americas,2017-02-08,5618.41211553817,4069,75664.8052928967,90102
All Suites,Americas,2017-02-09,5663.84671141064,4834,76070.7735214492,76716
All Suites,Americas,2017-02-10,5701.21891490649,8205,76533.3769816603,67061
All Suites,Americas,2017-02-11,11026.9875612378,10526,70808.2586487923,70118
All Suites,Americas,2017-02-12,5557.56642681991,4546,53911.4217898164,50761
All Suites,Americas,2017-02-13,5771.4598510739,4231,78176.7935621984,71864
All Suites,Americas,2017-02-14,5784.07369013823,4884,78777.2758089075,80728
All Suites,Americas,2017-02-15,5793.23518163548,4448,79386.6546354649,87940
All Suites,Americas,2017-02-16,5800.24864393249,5476,79994.4000894283,78017
All Suites,Americas,2017-02-17,5806.44958172698,10017,80590.3550478835,76715
All Suites,Americas,2017-02-18,13007.8461891677,12576,81591.6757376787,81075
All Suites,Americas,2017-02-19,8160.62031260074,7808,64971.7020361551,64829
All Suites,Americas,2017-02-20,5273.29605273147,5054,74218.1456740604,74333
All Suites,Americas,2017-02-21,5848.62888264499,4879,82680.7262577128,90180
All Suites,Americas,2017-02-22,5869.07105457883,5110,83095.9340541579,91286
All Suites,Americas,2017-02-23,5895.19107955209,6325,83459.3778967725,81073
All Suites,Americas,2017-02-24,5927.53195871785,10269,83769.2930682243,75224
All Suites,Americas,2017-02-25,11321.65671308,12155,77742.7482415226,75667
All Suites,Americas,2017-02-26,5813.22765030459,4927,60413.7036905333,54617
All Suites,Americas,2017-02-27,6064.22940984696,4482,84382.8721047163,80564
All Suites,Americas,2017-02-28,6122.77234766054,4393,84490.6593823907,89099
All Suites,Americas,2017-03-01,6187.19103438119,4682,84557.4235353292,88429
All Suites,Americas,2017-03-02,6256.85620402489,5648,84589.0110931503,76484
All Suites,Americas,2017-03-03,6330.99445425026,9732,84591.9309094249,73529
All Suites,Americas,2017-03-04,11793.5915894465,11736,78267.3037302482,75456
All Suites,Americas,2017-03-05,6289.1427463399,5227,60658.8110709781,56057
